Building target 'test' in configuration 'linux-x86_64-server-fastdebug'
Running tests using JTREG control variable 'RETAIN=all;JOBS=16;TIMEOUT_FACTOR=16;JAVA_OPTIONS=-XX:UseAVX=0 -XX:UseSSE=1 -Xbatch -XX:+DeoptimizeALot -XX:+SafepointALot'
Test selection 'test/hotspot/jtreg:hotspot_vector_1', will run:
* jtreg:test/hotspot/jtreg:hotspot_vector_1
Clean up dirs for jtreg_test_hotspot_jtreg_hotspot_vector_1

Running test 'jtreg:test/hotspot/jtreg:hotspot_vector_1'
Passed: compiler/codegen/BMI2.java
Passed: compiler/codegen/Test6378821.java
Passed: compiler/codegen/ClearArrayTest.java
Passed: compiler/codegen/BMI1.java
Passed: compiler/codegen/Test6814842.java
Passed: compiler/codegen/IntRotateWithImmediate.java
Passed: compiler/codegen/ShiftByZero.java
Passed: compiler/codegen/C1NullCheckOfNullStore.java
Passed: compiler/codegen/LoadWithMask.java
Passed: compiler/codegen/LoadWithMask2.java
Passed: compiler/codegen/Test6797305.java
Passed: compiler/codegen/BitTests.java
Passed: compiler/codegen/Test8011901.java
Passed: compiler/codegen/CRCTest.java
Passed: compiler/codegen/Test8005033.java
Passed: compiler/codegen/BadLogicCode.java
Passed: compiler/codegen/Test7009231.java
Passed: compiler/codegen/Test6909839.java
Passed: compiler/codegen/ShiftTest.java
Passed: compiler/codegen/Test6431242.java
Passed: compiler/codegen/Test6879902.java
Passed: compiler/codegen/Test6823354.java
Passed: compiler/codegen/TestConvertImplicitNullCheck.java
Passed: compiler/codegen/Test7100757.java
Passed: compiler/codegen/TestBooleanVect.java
Passed: compiler/codegen/TestByteIntVect.java
Passed: compiler/codegen/TestCharShortVect.java
Passed: compiler/codegen/TestByteShortVect.java
Passed: compiler/codegen/TestDoubleVect.java
Passed: compiler/codegen/TestCharVect.java
Passed: compiler/codegen/TestCharVect2.java#id0
Passed: compiler/codegen/TestByteVect.java
Passed: compiler/codegen/TestFloatDoubleVect.java
Passed: compiler/codegen/TestFloatVect.java
Passed: compiler/codegen/TestGCMLoadPlacement.java
Passed: compiler/codegen/TestIntFloatVect.java
Passed: compiler/codegen/TestByteDoubleVect.java
Passed: compiler/codegen/TestMultiMemInstructionMatching.java
Passed: compiler/codegen/TestLongDoubleVect.java
Passed: compiler/codegen/TestByteFloatVect.java
Passed: compiler/codegen/TestIntLongVect.java
Passed: compiler/codegen/TestByteLongVect.java
Passed: compiler/codegen/TestShortIntVect.java
Passed: compiler/codegen/TestShortFloatVect.java
Passed: compiler/loopopts/superword/CoLocatePack.java
Passed: compiler/codegen/Test6942326.java
Passed: compiler/loopopts/superword/AlignmentOnePack.java
Passed: compiler/codegen/TestLongVect.java
Passed: compiler/codegen/TestIntVect.java
Passed: compiler/loopopts/superword/CoLocatePackMemoryState.java
Passed: compiler/codegen/TestOopCmp.java
Passed: compiler/codegen/TestIntDoubleVect.java
Passed: compiler/codegen/TestShortVect.java
Passed: compiler/codegen/TestCharVect2.java#id1
Passed: compiler/codegen/TestLongFloatVect.java
Passed: compiler/codegen/TestShortDoubleVect.java
Passed: compiler/loopopts/superword/ReductionPerf.java
Passed: compiler/codegen/TestShortLongVect.java
Passed: compiler/codegen/TestSignedMultiplyLong.java
Passed: compiler/codegen/TestAntiDependenciesHighMemUsage.java
Passed: compiler/loopopts/superword/MinMaxRed_Long.java
Passed: compiler/loopopts/superword/SuperWordIntermediateUse.java
Passed: compiler/loopopts/superword/MinMaxRed_Int.java
Passed: compiler/loopopts/superword/TestAlignVector.java#AlignVector
Passed: compiler/loopopts/superword/TestAlignVector.java#VerifyAlignVector
Passed: compiler/loopopts/superword/RedTest_int.java
Passed: compiler/loopopts/superword/RedTest_long.java
Passed: compiler/loopopts/superword/SumRed_Long.java
